symbol,x,y,z,ngram_count,syn_coverage,monster_density,connections
_ZN71_$LT$sharded_slab..tid..REGISTRY$u20$as$u20$core..ops..deref..Deref$GT$5deref11__stability4LAZY17he76004fa916f7f83E,0.014,0.000,11.966,60,0.0,0.5333,5
_ZN17rustc_driver_impl20ice_path_with_config10__CALLSITE4META17h0d76737c873e9ccaE,1.045,0.047,11.927,65,0.0,0.4752,5
_ZN17rustc_driver_impl20ice_path_with_config28_$u7b$$u7b$closure$u7d$$u7d$10__CALLSITE4META17hca08a18d60ba3c87E,1.028,0.042,11.927,65,0.0,0.4752,5
_ZN4jiff15signed_duration14SignedDuration19try_from_nanos_i12817h0763fbc9a8cf4897E,8.596,0.779,11.914,65,0.0,0.4990,5
_ZN65_$LT$smallvec..CollectionAllocErr$u20$as$u20$core..fmt..Debug$GT$3fmt17h54d0bea1bc0193cbE,2.606,0.185,11.903,65,0.0,0.5078,5
_ZN17rustc_driver_impl20describe_debug_flags17he30c655198124857E,0.763,0.080,11.884,60,0.0,0.4295,5
_ZN17rustc_driver_impl17parse_crate_attrs17h217b7d38e290cad0E,18.274,1.310,11.862,75,0.0,0.3976,5
_ZN17rustc_driver_impl16print_crate_info28_$u7b$$u7b$closure$u7d$$u7d$17h7e5580ad75734316E,0.377,0.011,11.862,60,0.0,0.4815,5
_ZN17rustc_driver_impl16print_crate_info28_$u7b$$u7b$closure$u7d$$u7d$17h861fb776b5351bbcE,14.656,0.964,11.862,75,0.0,0.4237,5
_ZN18tracing_subscriber6filter9directive74DirectiveSet$LT$tracing_subscriber..filter..directive..StaticDirective$GT$21directives_for_target17he9db80cbbed1aec9E,1.135,0.081,11.838,65,0.0,0.3828,5
_ZN4jiff3fmt8friendly6parser10SpanParser20parse_duration_units17h09ee1b2e710f2e9bE,109.127,7.573,11.775,80,0.0,0.4453,2
_ZN4jiff3fmt8friendly7printer11SpanPrinter18print_duration_hms17h04776666212bda88E,17.366,1.230,11.775,75,0.0,0.4268,5
_ZN4jiff3fmt8friendly7printer17FractionalPrinter21from_duration_seconds17h1099a5a2217ac0e6E,2.706,0.235,11.775,65,0.0,0.4799,5
_ZN4jiff3fmt8friendly7printer11SpanPrinter26print_duration_designators17h2464e39c94873521E,98.538,5.841,11.775,75,0.0,0.4111,1
_ZN17rustc_driver_impl38warn_on_confusing_output_filename_flag17hf1e471d3d3635a57E,111.722,7.035,11.755,80,0.0,0.3995,3
